"Product's Name","Title of Page","URL"
"John Frieda Sheer Blonde Go Blonder Controlled Lightening Spray - Fluido Iluminador - 103ml","Spray John Frieda Blonde Controlled Lightening - Época Cosméticos","https://www.epocacosmeticos.com.br/sheer-blonde-go-blonder-controlled-lightening-spray-john-frieda-fluido-iluminador-para-cabelos-loiros/p"
"Alfaparf Nutri Seduction Ultra Moist  - Shampoo - 250ml","Shampoo Alfaparf Nutri Seduction Ultra Moist - Época Cosméticos","https://www.epocacosmeticos.com.br/nutri-seduction-ultra-moist-alfaparf-shampoo/p"
"Corretivo Lancôme - Teint Idole Ultra Wear Camouflage","Corretivo Lancôme - Teint Idole Ultra Wear Camouflage - Época Cosméticos","https://www.epocacosmeticos.com.br/corretivo-lancome-teint-idole-ultra-wear-camouflage/p"
"Loção Corporal Deo-Hidratante Johnson's - Pele dos Sonhos - 400ml","Loção Corporal DeoHidratante Johnson’s - Pele dos Sonhos - Época Cosméticos","https://www.epocacosmeticos.com.br/locao-corporal-deo-hidratante-johnsons-pele-dos-sonhos/p"
"Versace Pour Homme Versace - Perfume Masculino - Eau de Toilette","Perfume Versace Pour Homme Versace Masculino - Época Cosméticos","https://www.epocacosmeticos.com.br/versace-pour-homme-eau-de-toilette-versace-perfume-masculino/p"
"Rose Extase Nina Ricci Perfume Feminino - Eau de Toilette","Perfume Rose Extase Nina Ricci – Feminino - Época Cosméticos","https://www.epocacosmeticos.com.br/rose-extase-nina-ricci-perfume-feminino-eau-de-toilette/p"
"Mark. Gel Finish Esmalte 7 em 1 10ml - Roxo Obsessão","Mark. Gel Finish Esmalte 7 em 1 10ml - Época Cosméticos","https://www.epocacosmeticos.com.br/mark--gel-finish-esmalte-7-em-1-10ml-24196/p"
"Sabonete Líquido Vivanel - Lótus e Rosas - 350ml","Sabonete Líquido Vivanel - Lótus e Rosas - Época Cosméticos","https://www.epocacosmeticos.com.br/sabonete-liquido-vivanel-lotus-e-rosas-/p"
"Narciso Rodriguez For Her Narciso Rodriguez - Perfume Feminino - Eau de Parfum","Perfume Narciso Rodriguez For Her Feminino Eau de Parfum - Época Cosméticos","https://www.epocacosmeticos.com.br/narciso-rodriguez-for-her-eau-de-parfum-narciso-rodriguez-perfume-feminino/p"
"Massageador à Prova D'água Relaxbeauty - Complete Bath - 1 Un","Massageador à Prova D'água Relaxbeauty - Complete Bath - Época Cosméticos","https://www.epocacosmeticos.com.br/massageador-a-prova-d-agua-relaxbeauty-complete-bath/p"
"Ducray Anaphase+  Shampoo Antiqueda Fortificante - 100ml","Ducray Anaphase+  Shampoo - Época Cosméticos","https://www.epocacosmeticos.com.br/kelual-ds-ducray-shampoo-para-couro-cabeludo-descamativo/p"
"Black Xs Paco Rabanne - Perfume Masculino - Eau de Toilette","Perfume Black Xs Paco Rabanne Masculino - Época Cosméticos","https://www.epocacosmeticos.com.br/black-xs-eau-de-toilette-paco-rabanne-perfume-masculino/p"
"Effaclar BB Blur Fps 25 La Roche-Posay- Pó Compacto","Effaclar BB Blur Fps 25 La Roche Posay - Pó Compacto - Época Cosméticos","https://www.epocacosmeticos.com.br/effaclar-bb-blur--fps-25-la-roche-posay-po-compacto/p"
"Black Piment Perfume Masculino - Deo Colônia - 120ml","Perfume Black Piment Masculino - Deo Colônia - Época Cosméticos","https://www.epocacosmeticos.com.br/black-piment-perfume-masculino-deo-colonia/p"
"L'Oréal Professionnel Absolut Repair Pós-Química - Shampoo Multi-Reconstrutor - 1500ml","Shampoo L'Oréal Professionnel Absolut Repair Pós Química - Época Cosméticos","https://www.epocacosmeticos.com.br/absolut-repair-pos-quimica-l-oreal-professionnel-shampoo-reconstrutor-1500-ml/p"
"Actine Darrow - Kit Sabonete Líquido - 2x 240ml","Actine Darrow - Kit Sabonete Líquido - Época Cosméticos","https://www.epocacosmeticos.com.br/actine-darrow-kit1-sabonete-liquido/p"
"Alicate para Cuticula Mundial 522 Classsic - Alicate de Unha - 1 Un","Alicate para Cuticula Mundial 522 Classsic - Época Cosméticos","https://www.epocacosmeticos.com.br/alicate-para-cuticula-mundial-522-classsic-alicate-de-unha/p"
"Cleaner Brush Océane - Limpador de Pincel - 1 Un","Cleaner Brush Océane - Limpador de Pincel - Época Cosméticos","https://www.epocacosmeticos.com.br/cleaner-brush-oceane-limpador-de-pincel/p"
"Bepantol Baby Bayer - Creme Preventivo de Assaduras","Bepantol Baby Bayer - Creme Preventivo de Assaduras - Época Cosméticos","https://www.epocacosmeticos.com.br/bepantol-baby-bayer-creme-preventivo-de-assaduras/p"
